Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Houlton,Maine,106,US-Canada Border,Jul-21,Personal Vehicles,1688,46.135,-67.781,POINT (-67.781288 46.134879)
Presidio,Texas,2403,US-Mexico Border,Nov-21,Truck Containers Loaded,665,29.562,-104.395,POINT (-104.394907 29.561827)
Douglas,Arizona,2601,US-Mexico Border,Feb-23,Truck Containers Loaded,1442,31.334,-109.56,POINT (-109.560344 31.334043)
Ferry,Washington,3013,US-Canada Border,Feb-21,Personal Vehicle Passengers,25,49,-118.761,POINT (-118.761166 49.000083)
Otay Mesa,California,2506,US-Mexico Border,Jun-23,Trains,13,32.55,-116.939,POINT (-116.938538 32.55033)
Carbury,North Dakota,3421,US-Canada Border,Apr-23,Personal Vehicles,442,48.999,-100.556,POINT (-100.555805 48.999416)
Norton,Vermont,211,US-Canada Border,May-21,Train Passengers,37,45.011,-71.793,POINT (-71.793219 45.010771)
International Falls,Minnesota,3604,US-Canada Border,Jul-21,Personal Vehicle Passengers,2603,48.608,-93.401,POINT (-93.401355 48.6078)
Raymond,Montana,3301,US-Canada Border,Jul-22,Truck Containers Loaded,1222,48.999,-104.574,POINT (-104.574333 48.999194)
Eastport,Idaho,3302,US-Canada Border,Oct-20,Trucks,4844,49.001,-116.181,POINT (-116.181027 49.000555)
Walhalla,North Dakota,3407,US-Canada Border,Jun-22,Trucks,694,49,-97.908,POINT (-97.908416 49.000472)
Eastport,Idaho,3302,US-Canada Border,Aug-22,Truck Containers Empty,1398,49.001,-116.181,POINT (-116.181027 49.000555)
Dalton Cache,Alaska,3106,US-Canada Border,Mar-23,Personal Vehicles,461,59.451,-136.362,POINT (-136.361944 59.450556)
Calexico East,California,2507,US-Mexico Border,Jan-22,Rail Containers Loaded,60,32.673,-115.388,POINT (-115.388018 32.673389)
Port Huron,Michigan,3802,US-Canada Border,Aug-21,Rail Containers Loaded,16813,42.999,-82.424,POINT (-82.423611 42.998611)
Sumas,Washington,3009,US-Canada Border,Apr-23,Truck Containers Loaded,8717,49.002,-122.265,POINT (-122.264805 49.002388)
Richford,Vermont,203,US-Canada Border,Jun-22,Truck Containers Loaded,121,45.012,-72.589,POINT (-72.588559 45.01174)
Roma,Texas,2310,US-Mexico Border,Oct-22,Trucks,3371,26.404,-99.019,POINT (-99.018981 26.403928)
Dalton Cache,Alaska,3106,US-Canada Border,Dec-23,Personal Vehicle Passengers,393,59.451,-136.362,POINT (-136.361944 59.450556)
Douglas,Arizona,2601,US-Mexico Border,Jan-21,Truck Containers Loaded,1312,31.334,-109.56,POINT (-109.560344 31.334043)
Walhalla,North Dakota,3407,US-Canada Border,Oct-23,Personal Vehicles,1460,49,-97.908,POINT (-97.908416 49.000472)
Jackman,Maine,104,US-Canada Border,Dec-22,Train Passengers,78,45.806,-70.397,POINT (-70.396722 45.805661)
Otay Mesa,California,2506,US-Mexico Border,Feb-21,Bus Passengers,538,32.55,-116.939,POINT (-116.938538 32.55033)
